title,url,dept,modified_date
[4급] 노로바이러스 감염증(장관감염증) 정보,https://news.seoul.go.kr/welfare/archives/576396,시민건강국 - 감염병관리과,2026-01-16
"`공공기여` 도시안전 인프라 투입…서울시, 노후 하수도 정비에 우선 활용한다",https://news.seoul.go.kr/citybuild/archives/530758,도시공간본부 - 도시계획과,2026-01-16
수변활력거점과 함께하는 건강 5대장 챌린지!!,https://news.seoul.go.kr/env/archives/566999,물순환안전국 - 수변감성도시과,2026-01-16
서울특별시 현업공무원 지정기준(2026.1.1.),https://news.seoul.go.kr/gov/archives/574513,행정국 - 인사과,2026-01-16
2026년 기금운용계획,https://news.seoul.go.kr/gov/archives/574509,재정기획관 - 재정담당관,2026-01-16
2025년 하반기 정년·명예퇴직자 격려금 집행내역,https://news.seoul.go.kr/gov/archives/574484,행정국 - 인사과,2026-01-15
하늘공원에서 철새의 쉼터로 남겨둔 금빛 억새물결을 만나보세요,https://news.seoul.go.kr/env/archives/567014,서부공원여가센터 - 환경녹지과,2026-01-15
직원 63％ 생성형 AI 활용…효율성 제고 성과로 AI 행정 지원 확대,https://news.seoul.go.kr/gov/archives/574496,디지털도시국 - 디지털정책과,2026-01-15
2026년 공기업하수도특별회계 예산서,https://news.seoul.go.kr/gov/archives/574489,재정기획관 - 예산담당관,2026-01-15
"AI 시대, 대체 불가능한 당신의 기술을 보여주세요! '2026년 서울특별시 기능경기대회' 참가자 모집",https://news.seoul.go.kr/economy/archives/570556,일자리정책과 - 고용훈련팀,2026-01-15
2025년 공공하수도 관리대행 성과평가 결과 공고,https://news.seoul.go.kr/env/archives/566979,물순환안전국 - 물재생시설과,2026-01-15
소비자종합지원 누리집 「소비자24」 개편,https://news.seoul.go.kr/economy/archives/570553,민생노동국 - 공정경제과,2026-01-14
공정거래정책자문단 위촉 및 자문회의 개최,https://news.seoul.go.kr/economy/archives/570550,민생노동국 - 공정경제과,2026-01-14
(추천명단)(#김포)'사우역 지엔하임' 서울시 장애인 기관추천 특별공급 명단,https://news.seoul.go.kr/welfare/archives/576370,복지기획관 - 장애인자립지원과,2026-01-14
나주시 농특산물 온라인 쇼핑몰「나주몰」설명절 기획전 안내,https://news.seoul.go.kr/gov/archives/574413,행정국 - 대외협력과,2026-01-15
"수소차 모빌리티 선도도시 속도 붙인다…서울시, 수소차 3백 대 보조금",https://news.seoul.go.kr/env/archives/566989,기후환경본부 - 친환경차량과,2026-01-15
달리고 쉬는 수변공간… 한강 조망 라이더 쉼터 `고덕천 라운지` 조성,https://news.seoul.go.kr/culture/archives/531423,디자인정책관 - 도시경관담당관,2026-01-14
